id,name,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total
1,bulbasaur,grass,poison,45,49,49,65,65,45,318
2,ivysaur,grass,poison,60,62,63,80,80,60,405
3,venusaur,grass,poison,80,82,83,100,100,80,525
4,charmander,fire,,39,52,43,60,50,65,309
5,charmeleon,fire,,58,64,58,80,65,80,405
6,charizard,fire,flying,78,84,78,109,85,100,534
7,squirtle,water,,44,48,65,50,64,43,314
8,wartortle,water,,59,63,80,65,80,58,405
9,blastoise,water,,79,83,100,85,105,78,530
10,caterpie,bug,,45,30,35,20,20,45,195
11,metapod,bug,,50,20,55,25,25,30,205
12,butterfree,bug,flying,60,45,50,90,80,70,395
13,weedle,bug,poison,40,35,30,20,20,50,195
14,kakuna,bug,poison,45,25,50,25,25,35,205
15,beedrill,bug,poison,65,90,40,45,80,75,395
16,pidgey,normal,flying,40,45,40,35,35,56,251
17,pidgeotto,normal,flying,63,60,55,50,50,71,349
18,pidgeot,normal,flying,83,80,75,70,70,101,479
19,rattata,normal,,30,56,35,25,35,72,253
20,raticate,normal,,55,81,60,50,70,97,413
21,spearow,normal,flying,40,60,30,31,31,70,262
22,fearow,normal,flying,65,90,65,61,61,100,442
